,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
192,18066.0,Cluster 1,Cluster 52,Cluster 9,Cluster 28,Cluster 15,Cluster 31
193,18142.0,Cluster 1,Cluster 1,Cluster 15,Cluster 14,Cluster 50,Cluster 12
194,18149.0,Cluster 1,Cluster 97,Cluster 15,Cluster 29,Cluster 58,Cluster 34
195,18155.0,Cluster 1,Cluster 0,Cluster 28,Cluster 57,Cluster 8,Cluster 21
196,18184.0,Cluster 1,Cluster 2,Cluster 28,Cluster 109,Cluster 21,Cluster 10
197,18471.0,Cluster 1,Cluster 2,Cluster 15,Cluster 14,,
198,18529.0,Cluster 1,Cluster 29,Cluster 9,Cluster 58,Cluster 28,Cluster 0
199,18547.0,Cluster 1,Cluster 1,Cluster 9,Cluster 58,Cluster 58,Cluster 15
200,18680.0,Cluster 1,Cluster 2,Cluster 9,Cluster 14,Cluster 58,Cluster 10
201,18704.0,Cluster 1,Cluster 97,Cluster 28,Cluster 14,Cluster 8,Cluster 12
202,18769.0,Cluster 1,Cluster 92,Cluster 86,Cluster 0,Cluster 50,
203,18815.0,Cluster 1,Cluster 120,Cluster 9,Cluster 29,Cluster 9,Cluster 15
204,18920.0,Cluster 1,Cluster 2,Cluster 9,Cluster 14,Cluster 50,Cluster 12
205,18934.0,Cluster 1,Cluster 71,,Cluster 49,,
206,18949.0,Cluster 1,Cluster 29,Cluster 9,Cluster 29,Cluster 50,Cluster 12
207,19128.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 50,Cluster 12
208,19247.0,Cluster 1,Cluster 1,Cluster 11,Cluster 28,Cluster 2,Cluster 7
209,19264.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 9,Cluster 15
210,19468.0,Cluster 1,Cluster 11,Cluster 1,Cluster 28,Cluster 4,Cluster 15
211,19492.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 58,Cluster 0
212,19503.0,Cluster 1,Cluster 2,Cluster 49,Cluster 51,Cluster 4,Cluster 15
213,19650.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 1,Cluster 0
214,19666.0,Cluster 1,Cluster 54,Cluster 9,Cluster 14,Cluster 8,Cluster 0
215,19700.0,Cluster 1,Cluster 52,Cluster 3,Cluster 14,Cluster 24,Cluster 8
216,19717.0,Cluster 1,Cluster 8,Cluster 9,Cluster 58,Cluster 58,Cluster 15
217,19831.0,Cluster 1,Cluster 1,Cluster 42,Cluster 58,Cluster 8,Cluster 12
218,19833.0,Cluster 1,Cluster 1,Cluster 15,Cluster 58,Cluster 50,Cluster 0
219,19844.0,Cluster 1,Cluster 0,Cluster 15,Cluster 58,Cluster 58,Cluster 15
220,19847.0,Cluster 1,Cluster 29,Cluster 28,Cluster 58,Cluster 6,Cluster 34
221,19852.0,Cluster 1,Cluster 1,Cluster 5,Cluster 58,Cluster 9,Cluster 15
222,19926.0,Cluster 1,Cluster 1,Cluster 15,Cluster 118,Cluster 50,Cluster 12
223,19927.0,Cluster 1,Cluster 5,Cluster 19,Cluster 14,Cluster 4,
